Provider,total_claims,avg_reimbursement,max_reimbursement,total_reimbursement,avg_deductible,avg_length_of_stay,avg_patient_chronics,avg_months_partA,avg_months_partB,percent_renal_disease,gender_ratio,ChronicCond_Alzheimer_ratio,ChronicCond_Heartfailure_ratio,ChronicCond_KidneyDisease_ratio,ChronicCond_Cancer_ratio,ChronicCond_ObstrPulmonary_ratio,ChronicCond_Depression_ratio,ChronicCond_Diabetes_ratio,ChronicCond_IschemicHeart_ratio,ChronicCond_Osteoporasis_ratio,ChronicCond_rheumatoidarthritis_ratio,ChronicCond_stroke_ratio,PotentialFraud
PRV51001,25,4185.6,42000,104640,213.6,5.0,5.56,12.0,12.0,0.32,0.36,0.6,0.76,0.68,0.2,0.4,0.36,0.84,0.92,0.24,0.32,0.24,No
PRV51003,132,4588.409090909091,57000,605670,502.1666666666667,5.161290322580645,4.545454545454546,11.818181818181818,11.871212121212121,0.2196969696969697,0.4090909090909091,0.42424242424242425,0.6060606060606061,0.48484848484848486,0.07575757575757576,0.3106060606060606,0.4090909090909091,0.7575757575757576,0.8484848484848485,0.25,0.2878787878787879,0.09090909090909091,Yes
PRV51004,149,350.13422818791946,3300,52170,2.0805369127516777,,4.342281879194631,11.865771812080537,11.95973154362416,0.15436241610738255,0.3087248322147651,0.42953020134228187,0.5906040268456376,0.33557046979865773,0.10738255033557047,0.2751677852348993,0.4228187919463087,0.7046979865771812,0.7248322147651006,0.3288590604026846,0.3087248322147651,0.11409395973154363,No
PRV51005,1165,241.1244635193133,4080,280910,3.1759656652360513,,4.335622317596567,11.907296137339056,11.939914163090128,0.2223175965665236,0.4386266094420601,0.36566523605150214,0.5836909871244635,0.4351931330472103,0.14163090128755365,0.2532188841201717,0.41630901287553645,0.6858369098712447,0.7682403433476395,0.2952789699570815,0.28412017167381975,0.10643776824034334,Yes
PRV51007,72,468.19444444444446,10000,33710,45.333333333333336,5.333333333333333,4.166666666666667,11.833333333333334,11.833333333333334,0.1527777777777778,0.4722222222222222,0.3611111111111111,0.5555555555555556,0.3055555555555556,0.16666666666666666,0.2222222222222222,0.4027777777777778,0.6805555555555556,0.7083333333333334,0.2916666666666667,0.3055555555555556,0.16666666666666666,No
PRV51008,43,828.6046511627907,21000,35630,53.86046511627907,4.0,3.9069767441860463,12.0,12.0,0.23255813953488372,0.4418604651162791,0.3953488372093023,0.5813953488372093,0.32558139534883723,0.20930232558139536,0.20930232558139536,0.27906976744186046,0.6976744186046512,0.7674418604651163,0.2558139534883721,0.13953488372093023,0.046511627906976744,No
PRV51011,58,286.7241379310345,5000,16630,23.586206896551722,5.0,4.586206896551724,12.0,12.0,0.20689655172413793,0.46551724137931033,0.43103448275862066,0.6379310344827587,0.43103448275862066,0.06896551724137931,0.3620689655172414,0.5344827586206896,0.7068965517241379,0.7586206896551724,0.3448275862068966,0.27586206896551724,0.034482758620689655,No
PRV51012,48,351.875,3300,16890,2.0833333333333335,,4.625,12.0,11.5,0.14583333333333334,0.22916666666666666,0.375,0.5416666666666666,0.4583333333333333,0.125,0.4375,0.3958333333333333,0.7291666666666666,0.7916666666666666,0.3541666666666667,0.3541666666666667,0.0625,No
PRV51013,46,323.4782608695652,1800,14880,5.0,,4.413043478260869,12.0,12.0,0.2391304347826087,0.2608695652173913,0.3695652173913043,0.5652173913043478,0.41304347826086957,0.08695652173913043,0.34782608695652173,0.391304347826087,0.8043478260869565,0.782608695652174,0.2608695652173913,0.34782608695652173,0.043478260869565216,No
PRV51014,30,349.3333333333333,3300,10480,4.0,,4.333333333333333,12.0,12.0,0.26666666666666666,0.23333333333333334,0.5333333333333333,0.5666666666666667,0.5333333333333333,0.06666666666666667,0.3,0.3333333333333333,0.6333333333333333,0.6666666666666666,0.2,0.4,0.1,No
